"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 26 16:34:47 CST 2024","Mon Aug 26 16:34:48 CST 2024","1259","testcase","test_case","TestQitanApi","","","公司变革数据",""
"passed","Mon Aug 26 16:35:15 CST 2024","Mon Aug 26 16:35:16 CST 2024","26","testcase","test_case","TestQitanApi","","","五力分析模型",""
"passed","Mon Aug 26 16:35:15 CST 2024","Mon Aug 26 16:35:15 CST 2024","193","testcase","test_case","TestQitanApi","","","五力分析行业的数据",""
"passed","Mon Aug 26 16:35:14 CST 2024","Mon Aug 26 16:35:15 CST 2024","517","testcase","test_case","TestQitanApi","","","行业集中度",""
"passed","Mon Aug 26 16:35:19 CST 2024","Mon Aug 26 16:35:19 CST 2024","56","testcase","test_case","TestQitanApi","","","产业链产品",""
"passed","Mon Aug 26 16:34:47 CST 2024","Mon Aug 26 16:34:47 CST 2024","53","testcase","test_case","TestQitanApi","","","获取公司年份",""
"passed","Mon Aug 26 16:35:18 CST 2024","Mon Aug 26 16:35:19 CST 2024","712","testcase","test_case","TestQitanApi","","","同业公司对比",""
"passed","Mon Aug 26 16:34:57 CST 2024","Mon Aug 26 16:34:57 CST 2024","34","testcase","test_case","TestQitanApi","","","经营系统管理熵",""
"passed","Mon Aug 26 16:35:19 CST 2024","Mon Aug 26 16:35:19 CST 2024","81","testcase","test_case","TestQitanApi","","","行业排行榜",""
"passed","Mon Aug 26 16:34:51 CST 2024","Mon Aug 26 16:34:56 CST 2024","4565","testcase","test_case","TestQitanApi","","","单项经营能力熵值分析",""
"passed","Mon Aug 26 16:35:05 CST 2024","Mon Aug 26 16:35:07 CST 2024","1457","testcase","test_case","TestQitanApi","","","企业筛选",""
"passed","Mon Aug 26 16:35:08 CST 2024","Mon Aug 26 16:35:08 CST 2024","30","testcase","test_case","TestQitanApi","","","行业财务分析",""
"passed","Mon Aug 26 16:34:46 CST 2024","Mon Aug 26 16:34:47 CST 2024","194","testcase","test_case","TestQitanApi","","","登录",""
